 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Age,Team,Lg,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,Pos,Awards,-9999
20,Willy Adames,29,SFG,NL,686,0.326,110,0.263,0.196,4.4,26.1,11.7,88.9,43.1,22.3,31.8,36.3,0.47,31.4,51.1,17.6,1.4,0.30%,9.08,34,75,46.2,*6/D,,adamewi01
21,TJ Friedl*,29,CIN,NL,685,0.341,106,0.301,0.117,2,16.8,11.8,84.6,32.1,25.8,38.5,21.6,0.68,40.6,48,11.4,0,0.00%,8.94,28.9,80,49.3,*8/DH,,friedtj01
22,Vinnie Pasquantino*,27,KCR,AL,682,0.343,121,0.271,0.211,4.7,15.7,7.2,90.7,44.9,24.3,38,29.7,0.61,36.4,48.7,14.8,0.6,0.20%,12.58,21.3,100,24.1,*3D,,pasquvi01
23,Vladimir Guerrero Jr.,26,TOR,AL,680,0.365,133,0.313,0.175,3.4,13.8,11.9,92,51,27.1,47.1,19.8,0.89,24.6,55.5,19.8,3.5,3.00%,31.56,30.9,66.7,31.9,*3D/H,ASMVP-13,guerrvl02
24,Aaron Judge,33,NYY,AL,679,0.461,212,0.376,0.357,7.8,23.6,18.3,95.4,58.4,22.4,33.5,38.4,0.5,26.5,55.9,17.5,5.6,4.90%,73.52,32.7,70.6,36.2,9D/H,ASMVP-1SS,judgeaa01
25,Manny Machado,32,SDP,NL,678,0.346,115,0.307,0.185,4,19.3,8.1,92.9,51.5,24.9,38.9,29.2,0.64,27.4,52.8,19.8,0.2,-0.10%,13.8,32,82.4,34.2,*5D,ASMVP-16SS,machama01
26,Luis Arráez*,28,SDP,NL,675,0.318,97,0.289,0.1,1.2,3.1,5,84.7,16.8,28,42.6,22.5,0.78,23.5,49.8,26.7,-0.4,-0.40%,-8.96,27.8,73.3,42.9,*3D4/H,,arraelu01
27,José Ramírez#,32,CLE,AL,673,0.372,134,0.279,0.219,4.5,11,9.8,88.9,37,25.6,33.2,30,0.5,44.3,43.3,12.4,4.2,2.90%,40.76,34.4,86.3,58.6,*5D,ASMVP-3SS,ramirjo01
28,Ozzie Albies#,28,ATL,NL,667,0.307,92,0.259,0.124,2.4,14.1,8.2,87.5,30.7,23.5,37.2,28.4,0.59,41.1,46.3,12.6,-2.1,-1.00%,-3.09,30.9,82.4,56.6,*4,,albieoz01
29,Maikel Garcia,25,KCR,AL,666,0.348,123,0.308,0.163,2.4,12.6,9.3,90.6,45.2,27.2,43.5,21.6,0.79,23.3,58,18.7,-0.5,0.00%,-1.13,29.8,71.9,62.9,*564/8DH9,ASMVP-14GG,garcima01
30,Mookie Betts,32,LAD,NL,663,0.322,102,0.258,0.148,3,10.3,9.2,89.1,35.8,26.7,32.8,34.5,0.49,30.1,53.5,16.4,-1.3,-0.90%,1.89,38.3,80,58.5,*6/H9,,bettsmo01
31,Ian Happ#,30,CHC,NL,663,0.338,122,0.288,0.178,3.5,22.8,13.1,89.9,44.5,26,36.4,29.1,0.57,32.6,49.6,17.7,0.8,0.70%,20.96,31.4,66.7,38.4,*7/DH,GG,happia01
32,Taylor Ward,31,LAA,AL,663,0.342,117,0.257,0.247,5.4,26.4,11.3,90.1,42.7,21.7,34.4,36.1,0.52,23.9,54.6,21.5,0.4,0.20%,13.44,28.7,80,35,*7/DH,,wardta01
33,William Contreras,27,MIL,NL,659,0.342,117,0.299,0.14,2.6,18.2,12.7,91.1,48.6,23.9,50.4,21.7,1.02,24.6,55.8,19.7,2.4,0.40%,17.54,33.2,60,41.7,*2D/37,,contrwi02
34,Brice Turang*,25,MIL,NL,659,0.355,123,0.356,0.147,2.7,22.8,10,89.2,47.5,25.2,44.7,25.6,0.85,23.1,55.3,21.5,1.1,0.50%,25.32,36.1,75,50,*4/H6,MVP-14,turanbr02
35,Eugenio Suárez,33,2TM,2LG,657,0.354,127,0.243,0.298,7.5,29.8,7,90.2,47.6,18.5,32.1,40.9,0.47,37.1,49.9,13,1.8,1.20%,14.97,28.6,80,35.4,*5/D3H,AS,suareeu01
35,Eugenio Suárez,33,ARI,NL,437,0.386,145,0.25,0.328,8.2,26.8,6.6,91.1,51.1,19.9,30.1,40.6,0.43,37.3,49.6,13,2.4,1.20%,21.58,26.9,100,32.4,5/DH3,,suareeu01
35,Eugenio Suárez,33,SEA,AL,220,0.289,89,0.227,0.239,5.9,35.9,7.7,88.2,39.8,15.4,36.6,41.5,0.58,36.6,50.4,13,-0.6,0.00%,-6.61,32.6,75,45.5,3-May,,suareeu01
36,Cody Bellinger*,29,NYY,AL,656,0.349,123,0.274,0.207,4.4,13.7,8.7,88.2,38,24.3,32.7,35.7,0.49,35.9,45.6,18.5,1.3,1.00%,28.42,31.6,86.7,36.5,*798/3H,MVP-14,bellico01
37,Riley Greene*,24,DET,AL,655,0.343,118,0.323,0.235,5.5,30.7,7,89.9,45.5,22.3,40.8,31.7,0.69,35.9,45.5,18.6,-0.1,-0.70%,12.86,28.4,66.7,53.3,*7D8/H9,ASMVP-17SS,greenri03
38,Jose Altuve,35,HOU,AL,654,0.331,110,0.283,0.177,4,16.7,8.4,84,30.9,19.8,41.4,25.1,0.73,41.4,48.4,10.3,-1.2,-1.10%,-7.24,28.6,62.5,33.9,4D7/H,,altuvjo01
39,J.P. Crawford*,30,SEA,AL,654,0.322,113,0.318,0.105,1.8,18.7,11.3,86.3,35,27.3,42.9,23.1,0.77,27.9,48.6,23.5,1.1,1.30%,10.46,26.3,88.9,28,*6/H,,crawfjp01
